station,date,kind,peak_hour_local,fired,trigger_local,trigger_temp,observed_ext_at_trigger,observed_ext_time_local,settled_ext,settled_local,delta_F,abs_delta,trigger_pick,actual_winner,bracket_match,trigger_pick_subtitle,actual_winner_subtitle,settled_bracket_subtitle,trigger_utc,settled_utc,pick_idx,winner_idx,bracket_distance
KORD,2026-02-05,high,13,True,17:51,29.0,31.0,14:51,31.0,14:51,0.0,0.0,KXHIGHCHI-26FEB05-B31.5,KXHIGHCHI-26FEB05-B29.5,False,31° to 32°,29° to 30°,31° to 32°,2026-02-05T23:51:00+00:00,2026-02-05T20:51:00+00:00,2,1,1
KORD,2026-02-06,high,13,True,16:29,34.0,38.0,15:51,38.0,15:51,0.0,0.0,KXHIGHCHI-26FEB06-B37.5,KXHIGHCHI-26FEB06-B37.5,True,37° to 38°,37° to 38°,37° to 38°,2026-02-06T22:29:00+00:00,2026-02-06T21:51:00+00:00,2,2,0
KORD,2026-02-07,high,13,True,17:51,22.0,24.0,13:51,24.0,13:51,0.0,0.0,KXHIGHCHI-26FEB07-B24.5,KXHIGHCHI-26FEB07-B24.5,True,24° to 25°,24° to 25°,24° to 25°,2026-02-07T23:51:00+00:00,2026-02-07T19:51:00+00:00,2,2,0
KORD,2026-02-08,high,13,True,15:51,28.0,30.0,12:51,30.0,12:51,0.0,0.0,KXHIGHCHI-26FEB08-B30.5,KXHIGHCHI-26FEB08-B30.5,True,30° to 31°,30° to 31°,30° to 31°,2026-02-08T21:51:00+00:00,2026-02-08T18:51:00+00:00,2,2,0
KORD,2026-02-09,high,13,True,21:51,36.0,38.0,15:51,38.0,15:51,0.0,0.0,KXHIGHCHI-26FEB09-B38.5,KXHIGHCHI-26FEB09-B38.5,True,38° to 39°,38° to 39°,38° to 39°,2026-02-10T03:51:00+00:00,2026-02-09T21:51:00+00:00,2,2,0
KORD,2026-02-10,high,13,True,15:51,43.0,47.0,12:51,47.0,12:51,0.0,0.0,KXHIGHCHI-26FEB10-B46.5,KXHIGHCHI-26FEB10-T47,False,46° to 47°,48° or above,46° to 47°,2026-02-10T21:51:00+00:00,2026-02-10T18:51:00+00:00,4,5,1
KORD,2026-02-11,high,13,True,16:51,40.0,42.0,14:51,42.0,14:51,0.0,0.0,KXHIGHCHI-26FEB11-B42.5,KXHIGHCHI-26FEB11-B42.5,True,42° to 43°,42° to 43°,42° to 43°,2026-02-11T22:51:00+00:00,2026-02-11T20:51:00+00:00,4,4,0
KORD,2026-02-12,high,13,True,15:51,37.0,39.0,14:51,39.0,14:51,0.0,0.0,KXHIGHCHI-26FEB12-B38.5,KXHIGHCHI-26FEB12-B38.5,True,38° to 39°,38° to 39°,38° to 39°,2026-02-12T21:51:00+00:00,2026-02-12T20:51:00+00:00,1,1,0
KORD,2026-02-13,high,13,True,16:51,52.0,54.0,15:51,54.0,15:51,0.0,0.0,no_kalshi_event,,,,,,2026-02-13T22:51:00+00:00,2026-02-13T21:51:00+00:00,,,
KORD,2026-02-14,high,13,True,16:51,48.0,51.0,13:51,51.0,13:51,0.0,0.0,no_kalshi_event,,,,,,2026-02-14T22:51:00+00:00,2026-02-14T19:51:00+00:00,,,
KORD,2026-01-14,low,7,False,,,17.0,23:51,17.0,23:51,,,,,,,,,,2026-01-15T05:51:00+00:00,,,
KORD,2026-01-15,low,7,True,08:51,15.0,13.0,07:51,13.0,07:51,0.0,0.0,no_kalshi_event,,,,,,2026-01-15T14:51:00+00:00,2026-01-15T13:51:00+00:00,,,
KORD,2026-01-16,low,7,True,08:03,26.0,22.0,00:04,22.0,00:04,0.0,0.0,no_kalshi_event,,,,,,2026-01-16T14:03:00+00:00,2026-01-16T06:04:00+00:00,,,
KORD,2026-01-17,low,7,True,09:47,14.0,12.0,05:51,12.0,05:51,0.0,0.0,no_kalshi_event,,,,,,2026-01-17T15:47:00+00:00,2026-01-17T11:51:00+00:00,,,
KORD,2026-01-18,low,7,True,09:51,9.0,6.0,07:51,6.0,07:51,0.0,0.0,no_kalshi_event,,,,,,2026-01-18T15:51:00+00:00,2026-01-18T13:51:00+00:00,,,
KORD,2026-01-19,low,7,True,10:51,1.0,-1.0,07:51,-1.0,07:51,0.0,0.0,no_kalshi_event,,,,,,2026-01-19T16:51:00+00:00,2026-01-19T13:51:00+00:00,,,
KORD,2026-01-20,low,7,True,08:51,6.0,3.0,00:51,3.0,00:51,0.0,0.0,no_kalshi_event,,,,,,2026-01-20T14:51:00+00:00,2026-01-20T06:51:00+00:00,,,
KORD,2026-01-21,low,7,False,,,21.0,00:51,21.0,00:51,,,,,,,,,,2026-01-21T06:51:00+00:00,,,
KORD,2026-01-22,low,7,True,09:51,17.0,15.0,03:51,5.0,23:51,-10.0,10.0,no_kalshi_event,,,,,,2026-01-22T15:51:00+00:00,2026-01-23T05:51:00+00:00,,,
KORD,2026-01-23,low,7,True,10:51,-8.0,-11.0,07:51,-11.0,07:51,0.0,0.0,no_kalshi_event,,,,,,2026-01-23T16:51:00+00:00,2026-01-23T13:51:00+00:00,,,
KORD,2026-01-24,low,7,True,08:51,-7.0,-10.0,04:51,-10.0,04:51,0.0,0.0,no_kalshi_event,,,,,,2026-01-24T14:51:00+00:00,2026-01-24T10:51:00+00:00,,,
KORD,2026-01-25,low,7,True,08:05,9.0,5.0,00:22,5.0,00:22,0.0,0.0,no_kalshi_event,,,,,,2026-01-25T14:05:00+00:00,2026-01-25T06:22:00+00:00,,,
